ACCT,301,2,2600,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,301,3,1530,Isberg S,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,301,900,4025,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,301,900,2607,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,301,901,5795,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,302,1,4026,Russo C,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,302,1,4821,Rao A,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,302,2,1533,Russo C,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,302,2,2611,Russo C,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,302,3,1534,Elshahat I,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,302,3,2615,Elshahat I,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,302,4,1537,Elshahat I,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,302,900,2618,Russo C,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,303,1,1539,Park J,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,303,1,2623,Lemma T,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,303,2,4027,Lemma T,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
